Id,Date,TableId,PlayerId,Points,Score,Rank
1,2019/11/12,20191112TJJJ,30,41,21,1
2,2019/11/12,20191112TJJJ,13,29,4,2
3,2019/11/12,20191112TJJJ,52,28,-7,3
4,2019/11/12,20191112TJJJ,11,22,-18,4
5,2019/11/19,20191119JTJT,30,47.8,32,1
6,2019/11/19,20191119JTJT,53,29.8,5,2
7,2019/11/19,20191119JTJT,11,22.5,-12,3
8,2019/11/19,20191119JTJT,52,19.9,-25,4
9,2019/12/21,20191221ANST,28,92.2,77,1
10,2019/12/21,20191221ANST,54,27.7,3,2
11,2019/12/21,20191221ANST,55,6,-29,3
12,2019/12/21,20191221ANST,30,-5.9,-51,4
13,2019/12/21,20191221YTNJ,54,54.1,38,1
14,2019/12/21,20191221YTNJ,56,28.2,4,2
15,2019/12/21,20191221YTNJ,30,20.9,-14,3
16,2019/12/21,20191221YTNJ,13,16.8,-28,4
17,2020/1/8,20200108JJTT,52,48.4,32,1
18,2020/1/8,20200108JJTT,11,44,19,2
19,2020/1/8,20200108JJTT,53,17.5,-17,3
20,2020/1/8,20200108JJTT,30,10.1,-34,4
21,2020/1/15,20200115JJTT,53,42.5,27,1
22,2020/1/15,20200115JJTT,30,40,15,2
23,2020/1/15,20200115JJTT,11,20.6,-14,3
24,2020/1/15,20200115JJTT,13,16.9,-28,4
25,2020/1/21,20200121JTTJ,30,41.9,25,1
26,2020/1/21,20200121JTTJ,53,41.2,17,2
27,2020/1/21,20200121JTTJ,52,28.6,-6,3
28,2020/1/21,20200121JTTJ,11,8.3,-36,4
29,2020/2/18,20200218IJDT,11,47.6,31,1
30,2020/2/18,20200218IJDT,57,36.7,12,2
31,2020/2/18,20200218IJDT,30,20.2,-19,3
32,2020/2/18,20200218IJDT,58,15.5,-24,4
33,2020/2/26,20200226TDJT,53,69.9,54,1
34,2020/2/26,20200226TDJT,30,27.1,2,2
35,2020/2/26,20200226TDJT,58,16.5,-18,3
36,2020/2/26,20200226TDJT,11,6.5,-38,4
37,2020/3/3,20200303JJTT,53,42.6,27,1
38,2020/3/3,20200303JJTT,11,33.6,9,2
39,2020/3/3,20200303JJTT,30,23.1,-12,3
40,2020/3/3,20200303JJTT,52,20.7,-24,4
41,2020/3/11,20200311DTJT,13,38.7,22,1
42,2020/3/11,20200311DTJT,30,37.4,13,2
43,2020/3/11,20200311DTJT,53,30.1,-4,3
44,2020/3/11,20200311DTJT,58,13.8,-31,4
45,2020/3/11,20200311TJDT,13,37.1,21,1
46,2020/3/11,20200311TJDT,30,35,10,2
47,2020/3/11,20200311TJDT,53,34.3,0,3
48,2020/3/11,20200311TJDT,58,13.6,-31,4
49,2020/7/7,20200707TJSA,13,48.7,32,1
50,2020/7/7,20200707TJSA,28,33.2,9,2
51,2020/7/7,20200707TJSA,30,25.4,-9,3
52,2020/7/7,20200707TJSA,55,12.7,-32,4
53,2020/7/14,20200714ADTJ,13,37.5,22,1
54,2020/7/14,20200714ADTJ,58,36.6,12,2
55,2020/7/14,20200714ADTJ,55,28.9,-6,3
56,2020/7/14,20200714ADTJ,30,17,-28,4
57,2020/7/14,20200714TJAD,30,59.3,43,1
58,2020/7/14,20200714TJAD,58,46.4,22,2
59,2020/7/14,20200714TJAD,13,23.2,-11,3
60,2020/7/14,20200714TJAD,55,-8.9,-54,4
61,2021/6/11,20210611STJW,59,37.1,26,1
62,2021/6/11,20210611STJW,13,28.7,9,2
63,2021/6/11,20210611STJW,28,23.5,-6,3
64,2021/6/11,20210611STJW,30,10.7,-29,4
65,2021/6/11,20210611WSTJ,28,46.3,35,1
66,2021/6/11,20210611WSTJ,59,38.1,19,2
67,2021/6/11,20210611WSTJ,13,25.5,-4,3
68,2021/6/11,20210611WSTJ,30,-9.9,-50,4
69,2021/6/24,20210624JWNT,13,45.9,35,1
70,2021/6/24,20210624JWNT,30,39.1,20,2
71,2021/6/24,20210624JWNT,59,17.4,-12,3
72,2021/6/24,20210624JWNT,19,-2.4,-43,4
73,2021/6/24,20210624NTJW,13,54.1,44,1
74,2021/6/24,20210624NTJW,59,23.8,4,2
75,2021/6/24,20210624NTJW,19,22.3,-7,3
76,2021/6/24,20210624NTJW,30,-0.2,-41,4
77,2021/6/24,2021062XNTJW,59,31.3,20,1
78,2021/6/24,2021062XNTJW,30,26.4,7,2
